"","Dest_lon","Dest_lat","unqDests"
"1",-96.9209135,32.7078751,"Dallas/Fort Worth, Texas"
"2",-87.6297982,41.8781136,"Chicago, Illinois"
"3",-86.7816016,36.1626638,"Nashville, Tennessee"
"4",-78.8636402,35.8991678,"Raleigh/Durham, North Carolina"
"5",-74.0059728,40.7127753,"New York, New York"
"6",-90.1994042,38.6270025,"St. Louis, Missouri"
"7",-80.1917902,25.7616798,"Miami, Florida"
"8",-118.2436849,34.0522342,"Los Angeles, California"
"9",-89.4012302,43.0730517,"Madison, Wisconsin"
"10",-87.9064736,43.0389025,"Milwaukee, Wisconsin"
"11",-95.3010624,32.3512601,"Tyler, Texas"
"12",-95.3698028,29.7604267,"Houston, Texas"
"13",-97.7277959,31.1171194,"Killeen, Texas"
"14",-98.4933873,33.9137085,"Wichita Falls, Texas"
"15",-97.396381,27.8005828,"Corpus Christi, Texas"
"16",-99.5075519,27.5035613,"Laredo, Texas"
"17",-94.1265562,30.080174,"Beaumont/Port Arthur, Texas"
"18",-100.4370375,31.4637723,"San Angelo, Texas"
"19",-102.2522487,31.9391746,"Midland/Odessa, Texas"
"20",-101.8312969,35.2219971,"Amarillo, Texas"
"21",-97.1466695,31.549333,"Waco, Texas"
"22",-94.7404891,32.5007037,"Longview, Texas"
"23",-99.7331439,32.4487364,"Abilene, Texas"
"24",-96.4929797,30.825147,"College Station/Bryan, Texas"
"25",-101.8551665,33.5778631,"Lubbock, Texas"
"26",-97.4974838,25.9017472,"Brownsville, Texas"
"27",-83.9207392,35.9606384,"Knoxville, Tennessee"
"28",-85.3096801,35.0456297,"Chattanooga, Tennessee"
"29",-103.2310149,44.0805434,"Rapid City, South Dakota"
"30",-96.731265,43.5460223,"Sioux Falls, South Dakota"
"31",-79.9310512,32.7764749,"Charleston, South Carolina"
"32",-82.2270568,34.9387279,"Greer, South Carolina"
"33",-81.0348144,34.0007104,"Columbia, South Carolina"
"34",-98.4184224,34.5938359,"Lawton/Fort Sill, Oklahoma"
"35",-95.992775,36.1539816,"Tulsa, Oklahoma"
"36",-96.7898034,46.8771863,"Fargo, North Dakota"
"37",-79.960474,36.0614479,"Greensboro/High Point, North Carolina"
"38",-104.5230242,33.3942655,"Roswell, New Mexico"
"39",-105.937799,35.6869752,"Santa Fe, New Mexico"
"40",-98.3420118,40.9263957,"Grand Island, Nebraska"
"41",-93.2922989,37.2089572,"Springfield, Missouri"
"42",-94.513281,37.0842271,"Joplin, Missouri"
"43",-92.3340724,38.9517053,"Columbia, Missouri"
"44",-90.8745758,32.3522304,"Jackson/Vicksburg, Mississippi"
"45",-89.0928155,30.3674198,"Gulfport/Biloxi, Mississippi"
"46",-85.6680863,42.9633599,"Grand Rapids, Michigan"
"47",-92.0198427,30.2240897,"Lafayette, Louisiana"
"48",-92.1193012,32.5093109,"Monroe, Louisiana"
"49",-92.4451371,31.3112936,"Alexandria, Louisiana"
"50",-93.2173758,30.2265949,"Lake Charles, Louisiana"
"51",-93.7501789,32.5251516,"Shreveport, Louisiana"
"52",-91.1871466,30.4514677,"Baton Rouge, Louisiana"
"53",-85.7584557,38.2526647,"Louisville, Kentucky"
"54",-84.5037164,38.0405837,"Lexington, Kentucky"
"55",-84.5120196,39.1031182,"Cincinnati, Kentucky"
"56",-100.8726618,37.9716898,"Garden City, Kansas"
"57",-96.5716694,39.1836082,"Manhattan/Ft. Riley, Kansas"
"58",-91.6656232,41.9778795,"Cedar Rapids/Iowa City, Iowa"
"59",-93.6249593,41.5868353,"Des Moines, Iowa"
"60",-85.1393513,41.079273,"Fort Wayne, Indiana"
"61",-87.5710898,37.9715592,"Evansville, Indiana"
"62",-88.864698,40.5478429,"Bloomington/Normal, Illinois"
"63",-89.6501481,39.7817213,"Springfield, Illinois"
"64",-89.5889864,40.6936488,"Peoria, Illinois"
"65",-88.2433829,40.1164204,"Champaign/Urbana, Illinois"
"66",-90.5151342,41.5067003,"Moline, Illinois"
"67",-81.091203,32.0808989,"Savannah, Georgia"
"68",-87.2169149,30.421309,"Pensacola, Florida"
"69",-84.2807329,30.4382559,"Tallahassee, Florida"
"70",-86.5027282,30.5085309,"Valparaiso, Florida"
"71",-106.8175387,39.1910983,"Aspen, Colorado"
"72",-107.8800667,37.27528,"Durango, Colorado"
"73",-107.9138034,38.5204869,"Montrose/Delta, Colorado"
"74",-108.5506486,39.0638705,"Grand Junction, Colorado"
"75",-94.1718542,36.082156,"Fayetteville, Arkansas"
"76",-94.3985475,35.3859242,"Fort Smith, Arkansas"
"77",-92.2895948,34.7464809,"Little Rock, Arkansas"
"78",-94.0376881,33.4417915,"Texarkana, Arkansas"
"79",-86.8103567,33.5185892,"Birmingham, Alabama"
"80",-86.3077368,32.3792233,"Montgomery, Alabama"
"81",-88.0398912,30.6953657,"Mobile, Alabama"
"82",-78.1590813,38.7134301,"Washington, Virginia"
"83",-76.2858726,36.8507689,"Norfolk, Virginia"
"84",-79.9958864,40.4406248,"Pittsburgh, Pennsylvania"
"85",-82.9987942,39.9611755,"Columbus, Ohio"
"86",-81.6943605,41.49932,"Cleveland, Ohio"
"87",-80.8431267,35.2270869,"Charlotte, North Carolina"
"88",-93.2650108,44.977753,"Minneapolis, Minnesota"
"89",-83.0457538,42.331427,"Detroit, Michigan"
"90",-76.6121893,39.2903848,"Baltimore, Maryland"
"91",-86.158068,39.768403,"Indianapolis, Indiana"
"92",-84.3879824,33.7489954,"Atlanta, Georgia"
"93",-82.4571776,27.950575,"Tampa, Florida"
"94",-88.0132958,44.5133188,"Green Bay, Wisconsin"
"95",-89.7031784,44.7930232,"Mosinee, Wisconsin"
"96",-91.2519017,43.8137751,"La Crosse, Wisconsin"
"97",-77.4360481,37.5407246,"Richmond, Virginia"
"98",-111.8910474,40.7607793,"Salt Lake City, Utah"
"99",-98.4936282,29.4241219,"San Antonio, Texas"
"100",-106.4850217,31.7618778,"El Paso, Texas"
"101",-90.0489801,35.1495343,"Memphis, Tennessee"
"102",-76.8867008,40.2731911,"Harrisburg, Pennsylvania"
"103",-75.1652215,39.9525839,"Philadelphia, Pennsylvania"
"104",-97.5164276,35.4675602,"Oklahoma City, Oklahoma"
"105",-84.1916069,39.7589478,"Dayton, Ohio"
"106",-83.5378674,41.6528052,"Toledo, Ohio"
"107",-78.8783689,42.8864468,"Buffalo, New York"
"108",-77.6088465,43.1565779,"Rochester, New York"
"109",-76.1474244,43.0481221,"Syracuse, New York"
"110",-75.9107565,43.9747838,"Watertown, New York"
"111",-74.1723667,40.735657,"Newark, New Jersey"
"112",-95.9345034,41.2565369,"Omaha, Nebraska"
"113",-94.5785667,39.0997265,"Kansas City, Missouri"
"114",-92.4801989,44.0121221,"Rochester, Minnesota"
"115",-85.5872286,42.2917069,"Kalamazoo, Michigan"
"116",-85.6206317,44.7630567,"Traverse City, Michigan"
"117",-83.6874562,43.0125274,"Flint, Michigan"
"118",-87.3953713,46.5436199,"Marquette, Michigan"
"119",-97.330053,37.6871761,"Wichita, Kansas"
"120",-96.4049408,42.4963416,"Sioux City, Iowa"
"121",-90.6654675,42.5022661,"Dubuque, Iowa"
"122",-92.3425775,42.492786,"Waterloo, Iowa"
"123",-81.655651,30.3321838,"Jacksonville, Florida"
"124",-72.6733723,41.7658043,"Hartford, Connecticut"
"125",-104.990251,39.7392358,"Denver, Colorado"
"126",-86.5861037,34.7303688,"Huntsville, Alabama"
"127",-82.3248262,29.6516344,"Gainesville, Florida"
"128",-81.7799871,24.5550593,"Key West, Florida"
"129",-106.650422,35.0843859,"Albuquerque, New Mexico"
"130",-117.1610838,32.715738,"San Diego, California"
"131",-121.8863286,37.3382082,"San Jose, California"
"132",-110.9747108,32.2226066,"Tucson, Arizona"
"133",-81.7373485,38.3606509,"Charleston/Dunbar, West Virginia"
"134",-79.9414266,37.2709704,"Roanoke, Virginia"
"135",-73.212072,44.4758825,"Burlington, Vermont"
"136",-71.4128343,41.8239891,"Providence, Rhode Island"
"137",-71.0588801,42.3600825,"Boston, Massachusetts"
"138",-70.2568189,43.6590993,"Portland, Maine"
"139",-90.0715323,29.9510658,"New Orleans, Louisiana"
"140",-81.3792365,28.5383355,"Orlando, Florida"
"141",-98.1775638,26.2336971,"Mission/McAllen/Edinburg, Texas"
"142",-97.6311006,26.132576,"Harlingen/San Benito, Texas"
"143",-96.7969879,32.7766642,"Dallas, Texas"
"144",-97.7430608,30.267153,"Austin, Texas"
"145",-103.1360403,32.7026116,"Hobbs, New Mexico"
"146",-104.8213634,38.8338816,"Colorado Springs, Colorado"
"147",-112.0740373,33.4483771,"Phoenix, Arizona"
"148",-73.7562317,42.6525793,"Albany, New York"
"149",-71.4547891,42.9956397,"Manchester, New Hampshire"
"150",-81.8723084,26.640628,"Fort Myers, Florida"
"151",-80.0533746,26.7153424,"West Palm Beach/Palm Beach, Florida"
"152",-78.4766781,38.0293059,"Charlottesville, Virginia"
"153",-78.8866943,33.6890603,"Myrtle Beach, South Carolina"
"154",-68.7712257,44.8016128,"Bangor, Maine"
"155",-75.5043761,40.5833639,"Allentown/Bethlehem/Easton, Pennsylvania"
"156",-75.8534771,41.2343893,"Scranton/Wilkes-Barre, Pennsylvania"
"157",-81.5190053,41.0814447,"Akron, Ohio"
"158",-76.8077338,42.0897965,"Elmira/Corning, New York"
"159",-88.4153847,44.2619309,"Appleton, Wisconsin"
"160",-77.8600012,40.7933949,"State College, Pennsylvania"
"161",-73.7629097,41.0339862,"White Plains, New York"
"162",-96.7025955,40.813616,"Lincoln, Nebraska"
"163",-84.5555347,42.732535,"Lansing, Michigan"
"164",-95.6751576,39.0473451,"Topeka, Kansas"
"165",-86.2519898,41.6763545,"South Bend, Indiana"
"166",-76.4939006,37.1307716,"Newport News/Williamsburg, Virginia"
"167",-82.1887444,36.5951059,"Bristol/Johnson City/Kingsport, Tennessee"
"168",-77.4302414,34.7540524,"Jacksonville/Camp Lejeune, North Carolina"
"169",-77.0412426,35.0735481,"New Bern/Morehead/Beaufort, North Carolina"
"170",-78.8783585,35.0526641,"Fayetteville, North Carolina"
"171",-82.5514869,35.5950581,"Asheville, North Carolina"
"172",-77.8868117,34.2103894,"Wilmington, North Carolina"
"173",-88.4272627,33.4956744,"Columbus, Mississippi"
"174",-84.155741,31.5785074,"Albany, Georgia"
"175",-83.2784851,30.8327022,"Valdosta, Georgia"
"176",-81.4914894,31.1499528,"Brunswick, Georgia"
"177",-84.9877094,32.4609764,"Columbus, Georgia"
"178",-82.0105148,33.4734978,"Augusta, Georgia"
"179",-85.3904888,31.2232313,"Dothan, Alabama"
"180",-80.1373174,26.1224386,"Fort Lauderdale, Florida"
"181",-102.7896242,46.8791756,"Dickinson, North Dakota"
"182",-103.6179745,48.1469683,"Williston, North Dakota"
"183",-100.8895761,46.8266603,"Bismarck/Mandan, North Dakota"
"184",-101.2922906,48.2329668,"Minot, North Dakota"
"185",-108.5006904,45.7832856,"Billings, Montana"
"186",-106.9253207,38.5458246,"Gunnison, Colorado"
"187",-117.867653,33.7454725,"Santa Ana, California"
"188",-115.1398296,36.1699412,"Las Vegas, Nevada"
"189",-122.4194155,37.7749295,"San Francisco, California"
"190",-122.3320708,47.6062095,"Seattle, Washington"
"191",-117.4260465,47.6587802,"Spokane, Washington"
"192",-157.8583333,21.3069444,"Honolulu, Hawaii"
"193",-156.4729469,20.8893351,"Kahului, Hawaii"
"194",-155.9969261,19.639994,"Kona, Hawaii"
"195",-159.3711111,21.9811111,"Lihue, Hawaii"
"196",-122.2711639,37.8043514,"Oakland, California"
"197",-116.5452921,33.8302961,"Palm Springs, California"
"198",-121.4943996,38.5815719,"Sacramento, California"
"199",-117.6508876,34.0633443,"Ontario, California"
"200",-118.3089661,34.1808392,"Burbank, California"
"201",-149.9002778,61.2180556,"Anchorage, Alaska"
"202",-134.4197221,58.3019444,"Juneau, Alaska"
"203",-147.7163888,64.8377778,"Fairbanks, Alaska"
"204",-131.6461112,55.3422222,"Ketchikan, Alaska"
"205",-122.6750261,45.5051064,"Portland, Oregon"
"206",-122.4786854,48.7519112,"Bellingham, Washington"
"207",-162.5966666,66.8983333,"Kotzebue, Alaska"
"208",-161.7558334,60.7922222,"Bethel, Alaska"
"209",-132.9555556,56.8125,"Petersburg, Alaska"
"210",-135.33,57.0530556,"Sitka, Alaska"
"211",-165.4063889,64.5011111,"Nome, Alaska"
"212",-139.7272808,59.5469878,"Yakutat, Alaska"
"213",-156.788611,71.2905556,"Barrow, Alaska"
"214",-132.3766666,56.4708333,"Wrangell, Alaska"
"215",-145.7525414,60.5424087,"Cordova, Alaska"
"216",-148.4597191,70.2001996,"Deadhorse, Alaska"
"217",-152.4072221,57.79,"Kodiak, Alaska"
